entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,512690,long,142448,1.4036,1.3958,-1230.73
2021-01-04,2021-02-01,159949,long,160465,1.246,1.33,13355.05
2021-01-04,2021-02-01,512910,long,132586,1.508,1.562,7037.53
2021-01-04,2021-03-01,510170,long,330698,0.6046,0.6613,18624.99
2021-01-04,2021-03-01,159928,long,149880,1.334,1.336,179.71
2021-02-01,2021-03-01,510660,long,36898,3.355,3.228,-4758.92
2021-02-01,2021-04-01,159985,long,97246,1.273,1.275,120.16
2021-02-01,2021-04-01,159901,long,30830,4.0154,3.6643,-10895.44
2021-03-01,2021-04-01,512770,long,71489,2.197,1.994,-14602.15
2021-03-01,2021-04-01,512910,long,100230,1.567,1.478,-9012.03
2021-04-01,2021-05-06,515150,long,140242,1.2,1.19,-1502.97
2021-04-01,2021-05-06,512890,long,242669,0.6935,0.7023,2033.87
2021-04-01,2021-05-06,510130,long,30587,5.502,5.561,1703.12
2021-05-06,2021-06-01,513030,long,108847,1.241,1.241,-81.05
2021-05-06,2021-06-01,513000,long,104308,1.295,1.241,-5711.99
2021-05-06,2021-06-01,513500,long,103501,1.3051,1.2878,-1871.08
2021-06-01,2021-07-01,512040,long,158007,0.8452,0.8328,-2038.83
2021-06-01,2021-08-02,515080,long,92677,1.441,1.365,-7121.47
2021-06-01,2021-08-02,159949,long,93064,1.435,1.53,8758.3
2021-07-01,2021-08-02,510660,long,20541,3.881,3.485,-8179.63
2021-08-02,2021-09-01,512580,long,77094,1.71,1.813,7859.2
2021-08-02,2021-09-01,510170,long,169471,0.7779,0.988,35516.08
2021-08-02,2021-09-01,515700,long,42389,3.11,3.215,4370.41
2021-03-01,2021-10-08,159980,long,119347,1.316,1.44,14700.35
2021-04-01,2021-10-08,159981,long,152992,1.1,1.85,114608.6
2021-09-01,2021-10-08,513080,long,108668,1.301,1.296,-628.0
2021-10-08,2021-12-01,515100,long,120291,1.46,1.396,-7801.69
2021-10-08,2021-12-01,515450,long,134993,1.301,1.145,-21157.97
2021-09-01,2022-01-04,515900,long,108004,1.309,1.35,4342.01
2021-10-08,2022-01-04,512950,long,131456,1.336,1.367,3968.54
2021-12-01,2022-02-07,159941,long,167342,0.805,0.718,-14635.21
2021-09-01,2022-03-01,513500,long,100246,1.4103,1.3183,-9304.69
2021-12-01,2022-05-05,511380,long,11613,11.6,11.022,-6791.13
2022-01-04,2022-05-05,512040,long,154314,0.9454,0.8652,-12459.8
2022-02-07,2022-05-05,512890,long,141023,0.791,0.833,5854.26
2022-03-01,2022-05-05,512260,long,73524,1.573,1.369,-15063.79
2022-01-04,2022-06-01,515100,long,96296,1.515,1.523,682.6
2022-05-05,2022-06-01,513500,long,139138,1.354,1.305,-6928.75
2022-05-05,2022-07-01,518880,long,47986,3.926,3.798,-6253.4
2022-05-05,2022-07-01,518800,long,48405,3.892,3.763,-6355.41
2022-05-05,2022-07-01,518890,long,47145,3.996,3.869,-6098.65
2022-06-01,2022-07-01,518660,long,26647,3.876,3.846,-861.14
2022-06-01,2022-08-01,518860,long,26483,3.9,3.75,-4033.23
2022-07-01,2022-08-01,512890,long,225592,0.85,0.817,-7557.35
2022-07-01,2022-08-01,510880,long,64737,2.962,2.901,-4062.82
2022-08-01,2022-09-01,515590,long,91434,1.45,1.438,-1176.43
2022-08-01,2022-09-01,512950,long,109842,1.207,1.175,-3593.44
2022-08-01,2022-09-01,512100,long,48158,2.753,2.611,-6915.93
2022-07-01,2022-10-10,515100,long,124677,1.538,1.456,-10335.5
2022-09-01,2022-10-10,512890,long,153589,0.848,0.835,-2074.2
2022-09-01,2022-10-10,159985,long,79611,1.636,1.776,11064.05
2022-09-01,2022-10-10,512190,long,74002,1.76,1.599,-11988.89
2022-07-01,2022-11-01,511380,long,16483,11.633,11.078,-9260.37
2022-10-10,2023-02-01,518860,long,43573,3.808,4.114,13229.78
2022-10-10,2023-02-01,518800,long,43838,3.785,4.033,10769.01
2022-10-10,2023-02-01,518660,long,43425,3.821,4.091,11621.68
2022-11-01,2023-02-01,518890,long,18029,3.865,4.123,4608.28
2022-10-10,2023-03-01,518880,long,43289,3.833,4.029,8382.54
2023-02-01,2023-03-01,159985,long,89266,1.986,1.909,-6977.79
2023-02-01,2023-03-01,159980,long,107444,1.65,1.577,-7947.43
2023-02-01,2023-03-01,513080,long,131711,1.346,1.394,6213.86
2023-02-01,2023-04-03,512750,long,158572,1.118,1.118,-106.37
2023-03-01,2023-04-03,515100,long,106675,1.64,1.664,2454.46
2023-03-01,2023-04-03,159758,long,180357,0.97,0.979,1517.76
2023-03-01,2023-04-03,515300,long,143634,1.218,1.267,6930.99
2023-04-03,2023-05-04,518880,long,41586,4.27,4.41,5713.75
2023-04-03,2023-05-04,518800,long,42309,4.197,4.36,6787.76
2023-04-03,2023-05-04,518660,long,41576,4.271,4.391,4881.08
2023-04-03,2023-05-04,518890,long,41267,4.303,4.424,4885.27
2023-03-01,2023-06-01,517180,long,150298,1.164,1.328,24536.51
2023-05-04,2023-06-01,512890,long,189412,0.961,0.918,-8251.49
2023-05-04,2023-06-01,515900,long,125969,1.445,1.378,-8546.61
2023-06-01,2023-07-03,518860,long,33444,4.358,4.357,-120.88
