entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,513050,long,48201,2.074,2.336,12564.89
2021-01-04,2021-02-01,512890,long,153681,0.6505,0.6295,-3286.31
2021-01-04,2021-02-01,512260,long,73024,1.369,1.322,-3491.08
2021-01-04,2021-02-01,159905,long,36432,2.744,2.845,3618.55
2021-01-04,2021-02-01,515300,long,92308,1.083,1.083,-59.98
2021-01-04,2021-03-01,510170,long,165349,0.6046,0.6613,9312.49
2021-01-04,2021-03-01,518880,long,25653,3.897,3.572,-8394.71
2021-01-04,2021-03-01,518800,long,25952,3.852,3.542,-8102.69
2021-02-01,2021-03-01,512010,long,63152,0.8063,0.7966,-642.94
2021-01-04,2021-04-01,510660,long,30797,3.246,3.103,-4462.63
2021-02-01,2021-04-01,159928,long,37432,1.3603,1.2388,-4577.17
2021-02-01,2021-04-01,159901,long,12681,4.0154,3.6643,-4481.51
2021-03-01,2021-04-01,512770,long,27200,2.197,1.994,-5555.8
2021-03-01,2021-04-01,512870,long,31787,1.88,1.763,-3753.82
2021-02-01,2021-05-06,159985,long,39999,1.273,1.301,1089.08
2021-03-01,2021-05-06,510160,long,82885,0.721,0.707,-1195.9
2021-03-01,2021-05-06,515080,long,46834,1.276,1.359,3850.2
2021-04-01,2021-05-06,510130,long,11942,5.502,5.561,664.94
2021-04-01,2021-05-06,512890,long,94746,0.6935,0.7023,794.09
2021-04-01,2021-05-06,515150,long,54755,1.2,1.19,-586.81
2021-04-01,2021-05-06,512750,long,56790,1.157,1.117,-2310.34
2021-01-04,2021-06-01,512910,long,66293,1.508,1.534,1663.12
2021-02-01,2021-06-01,515800,long,38343,1.328,1.347,697.75
2021-05-06,2021-06-01,513800,long,65140,1.173,1.153,-1348.25
2021-05-06,2021-06-01,510500,long,10603,7.206,7.473,2784.31
2021-05-06,2021-06-01,515450,long,65307,1.17,1.196,1651.63
2021-05-06,2021-07-01,513520,long,59742,1.279,1.234,-2733.43
2021-06-01,2021-07-01,515590,long,41965,1.465,1.475,382.64
2021-05-06,2021-08-02,513000,long,59004,1.295,1.202,-5531.57
2021-05-06,2021-08-02,513030,long,61571,1.241,1.229,-784.48
2021-06-01,2021-08-02,159996,long,42932,1.432,1.265,-7204.38
2021-07-01,2021-08-02,512910,long,29687,1.492,1.332,-4775.07
2021-06-01,2021-09-01,512890,long,81842,0.7512,0.7785,2196.73
2021-08-02,2021-09-01,510130,long,10458,5.686,6.2,5338.12
2021-08-02,2021-09-01,510160,long,88097,0.675,0.75,6569.61
2021-05-06,2021-10-08,159981,long,61521,1.242,1.85,37347.7
2021-08-02,2021-10-08,515150,long,48583,1.224,1.331,5161.14
2021-04-01,2021-11-01,159980,long,52272,1.257,1.449,9993.79
2021-09-01,2021-11-01,511380,long,4944,11.15,11.089,-334.57
2021-10-08,2021-11-01,513030,long,47340,1.192,1.199,297.42
2021-10-08,2021-11-01,159941,long,75138,0.751,0.786,2595.18
2021-06-01,2021-12-01,515080,long,42664,1.441,1.434,-335.45
