date,value,dr,cmax,dd
2021-01-04,1029414.87,,1029414.87,0.0
2021-02-01,1028854.6,-0.0005442606439132192,1029414.87,-0.054426064391321916
2021-03-01,1033221.42,0.004244350951047915,1033221.42,0.0
2021-04-01,999119.34,-0.03300558751482341,1033221.42,-3.300558751482341
2021-05-06,1030857.83,0.03176646545546791,1033221.42,-0.22875929149824836
2021-06-01,1026468.78,-0.00425766761649371,1033221.42,-0.6535520721202226
2021-07-01,1025301.3,-0.001137375069507729,1033221.42,-0.7665462452375427
2021-08-02,1041322.52,0.01562586529442611,1041322.52,0.0
2021-09-01,1087574.48,0.04441655597729688,1087574.48,0.0
2021-10-08,1157492.45,0.06428798329287755,1157492.45,0.0
2021-11-01,1137660.98,-0.01713313119234594,1157492.45,-1.713313119234594
2021-12-01,1130840.03,-0.005995591059121952,1157492.45,-2.30259990032764
2022-01-04,1155546.68,0.02184805042672555,1157492.45,-0.1681021763900059
2022-02-07,1125438.67,-0.026055208777892025,1157492.45,-2.7692431168773513
2022-03-01,1125617.54,0.00015893358276031222,1157492.45,-2.7537898843314146
2022-04-01,1123905.22,-0.001521227183435725,1157492.45,-2.901723462645478
2022-05-05,1086443.78,-0.03333149391369494,1157492.45,-6.138154076080582
2022-06-01,1070421.42,-0.014747527939273697,1157492.45,-7.522384271275384
2022-07-01,1061623.18,-0.008219416984387329,1157492.45,-8.282496356671698
2022-08-01,1050584.18,-0.010398228117061259,1157492.45,-9.236195881882425
2022-09-01,1033168.8,-0.016576853460709695,1157492.45,-10.740774162285028
2022-10-10,1016650.24,-0.01598824896764217,1157492.45,-12.16787288763741
2022-11-01,1012422.34,-0.0041586573569293295,1157492.45,-12.533136609227991
2022-12-01,1041217.98,0.028442319832649998,1157492.45,-10.045376105908943
2023-01-03,1046807.4,0.005368155474994918,1157492.45,-9.56248569915078
2023-02-01,1064806.05,0.017193850559329205,1157492.45,-8.007516593304764
2023-03-01,1061330.92,-0.0032636272117350096,1157492.45,-8.307745765425945
2023-04-03,1069730.34,0.00791404437741261,1157492.45,-7.582089196348529
2023-05-04,1144356.09,0.06976127273346289,1157492.45,-1.1348981153181503
2023-06-01,1087265.67,-0.04988868456146389,1157492.45,-6.0671479973800295
2023-07-03,1089147.68,0.0017309568874734893,1157492.45,-5.9045542802460655
2023-08-01,1119112.65,0.02751231127811793,1157492.45,-3.3157710877509405
2023-09-01,1100208.55,-0.016892043888521724,1157492.45,-4.94896532586454
2023-10-09,1077710.48,-0.02044891398089943,1157492.45,-6.8926557577114185
2023-11-01,1115561.46,0.03512165901922004,1157492.45,-3.622571361048621
2023-12-01,1112960.87,-0.002331193836689116,1157492.45,-3.8472458286876843
2024-01-02,1128835.86,0.01426374495987437,1157492.45,-2.475747465998579
2024-02-01,1128146.15,-0.0006109922836790016,1157492.45,-2.5353340317684214
2024-03-01,1132861.62,0.004179839642231009,1157492.45,-2.127947357237603
2024-04-01,1167988.58,0.03100728224864735,1167988.58,0.0
2024-05-06,1170866.17,0.0024637141572050325,1170866.17,0.0
2024-06-03,1176919.43,0.00516989913544097,1176919.43,0.0
2024-07-01,1175337.04,-0.001344518545334794,1176919.43,-0.1344518545334794
2024-08-01,1186844.26,0.00979057037120179,1186844.26,0.0
2024-09-02,1188898.06,0.0017304713594015197,1188898.06,0.0
2024-10-08,1174981.92,-0.011705074192820297,1188898.06,-1.1705074192820297
2024-11-01,1068514.01,-0.09061238150796391,1188898.06,-10.125683105244532
2024-12-02,1038250.36,-0.028323119506874828,1188898.06,-12.671204123253432
2025-01-02,1031431.63,-0.0065675199958514785,1188898.06,-13.244737736387592
2025-02-05,1029001.05,-0.002356511017603702,1188898.06,-13.449177467746898
2025-03-03,992771.26,-0.035208700710266605,1188898.06,-16.496519474512393
2025-04-01,1054908.48,0.06258966441071223,1188898.06,-11.270064651295675
2025-05-06,1118777.78,0.06054487304908207,1188898.06,-5.8979219799551235
2025-06-03,1103072.62,-0.014037783267379478,1188898.06,-7.2189065562105466
2025-07-01,1094667.29,-0.00761992442528403,1188898.06,-7.925891476347435
2025-08-01,1078184.03,-0.015057780707049329,1188898.06,-9.312323211293661
2025-09-01,1135592.37,0.05324540004548206,1188898.06,-4.48362158148361
2025-10-09,1145803.32,0.008991738822619944,1188898.06,-3.6247632534617824
2025-11-03,1100980.63,-0.039119008661975374,1188898.06,-7.394866974549541
2025-12-01,1061582.73,-0.03578437161060677,1188898.06,-10.708683467781931
2026-01-05,1115579.03,0.05086395857249859,1188898.06,-6.1669736428033195
2026-02-02,1157366.54,0.03745813508165363,1188898.06,-2.6521634663950966
2026-03-02,1301505.75,0.1245406749014879,1301505.75,0.0
2026-04-01,1199181.28,-0.07862006756405027,1301505.75,-7.862006756405027
2026-05-06,1264534.6,0.05449828236144594,1301505.75,-2.840644384398605
2026-06-01,1211625.15,-0.041841045709623326,1301505.75,-6.905893423828524
2026-07-01,1272414.61,0.050171837387165574,1301505.75,-2.235191046985374
2026-07-13,1156141.24,-0.09138009661803559,1301505.75,-11.168948734955652
