entry_date,exit_date,symbol,side,size,entry_price,exit_price,pnl
2021-01-04,2021-02-01,513600,long,39529,2.529,2.65,4721.59
2021-01-04,2021-02-01,513660,long,77161,1.2956,1.3458,3812.34
2021-01-04,2021-02-01,513000,long,77979,1.282,1.264,-1463.18
2021-01-04,2021-02-01,510900,long,86106,1.161,1.218,4846.59
2021-01-04,2021-02-01,510880,long,36498,2.739,2.495,-8962.82
2021-02-01,2021-03-01,510130,long,8999,5.587,5.57,-183.1
2021-02-01,2021-03-01,518660,long,13148,3.824,3.655,-2251.51
2021-02-01,2021-03-01,518890,long,13046,3.854,3.68,-2299.49
2021-01-04,2021-04-01,512040,long,134912,0.741,0.8073,8882.0
2021-01-04,2021-04-01,515100,long,83656,1.195,1.31,9557.57
2021-02-01,2021-04-01,512260,long,38033,1.322,1.394,2707.39
2021-03-01,2021-04-01,513080,long,34778,1.143,1.2,1957.9
2021-03-01,2021-05-06,512890,long,59375,0.6695,0.7023,1923.06
2021-02-01,2021-06-01,513500,long,43871,1.1461,1.2878,6184.49
2021-03-01,2021-06-01,510810,long,43683,0.91,0.9,-460.55
2021-04-01,2021-07-01,518890,long,16503,3.583,3.684,1630.82
2021-04-01,2021-07-01,518880,long,16713,3.538,3.61,1167.5
2021-04-01,2021-07-01,518800,long,16890,3.501,3.571,1146.47
2021-04-01,2021-07-01,518660,long,16554,3.572,3.655,1338.09
2021-05-06,2021-07-01,510880,long,14375,2.758,2.855,1370.17
2021-06-01,2021-07-01,513800,long,39253,1.153,1.168,561.46
2021-07-01,2021-08-02,512040,long,82938,0.8328,0.7968,-3026.31
2021-07-01,2021-08-02,510500,long,9066,7.618,7.599,-213.64
2021-07-01,2021-08-02,512890,long,94282,0.7326,0.6954,-3547.68
2021-07-01,2021-08-02,512750,long,62791,1.1,1.008,-5816.48
2021-07-01,2021-08-02,510160,long,98391,0.702,0.675,-2697.2
2021-01-04,2021-09-01,515300,long,92308,1.083,1.11,2431.59
2021-01-04,2021-10-08,515450,long,92053,1.086,1.301,19725.48
2021-06-01,2021-10-08,512260,long,30767,1.471,1.664,5909.09
2021-07-01,2021-10-08,515100,long,50750,1.361,1.46,4981.3
2021-10-08,2021-12-01,513300,long,49871,1.223,1.31,4300.88
2021-10-08,2021-12-01,518860,long,16779,3.635,3.631,-103.69
2021-08-02,2022-01-04,513500,long,44268,1.3697,1.4708,4437.77
2021-09-01,2022-01-04,513030,long,32342,1.254,1.178,-2481.59
2021-10-08,2022-01-04,513080,long,47062,1.296,1.307,480.93
2022-01-04,2022-02-07,515300,long,51104,1.188,1.179,-496.22
2022-01-04,2022-02-07,510810,long,67533,0.899,0.871,-1926.78
2021-12-01,2022-04-01,515800,long,42450,1.303,1.135,-7162.65
2022-02-07,2022-04-01,518860,long,14315,3.8,3.876,1054.98
2022-02-07,2022-04-01,560500,long,54345,1.001,0.968,-1825.49
2021-12-01,2022-05-05,510180,long,13718,4.032,3.503,-7287.83
2022-01-04,2022-06-01,510130,long,10010,6.065,5.194,-8752.52
2022-04-01,2022-07-01,513800,long,56107,1.054,0.977,-4354.42
2022-04-01,2022-07-01,510160,long,81794,0.723,0.728,373.37
2021-08-02,2022-08-01,518890,long,16160,3.752,3.806,836.0
2022-07-01,2022-08-01,513520,long,54787,0.977,1.057,4349.53
2022-08-01,2022-09-01,513800,long,52348,1.046,1.005,-2178.48
2022-09-01,2022-10-10,510810,long,62341,0.787,0.75,-2335.36
2022-10-10,2022-11-01,510180,long,14420,3.386,3.107,-4051.27
2022-07-01,2022-12-01,512750,long,48705,1.099,1.078,-1054.61
2022-05-05,2023-01-03,518860,long,11634,3.971,4.016,495.65
2022-06-01,2023-01-03,515450,long,39639,1.18,1.133,-1890.54
2022-04-01,2023-02-01,515300,long,49487,1.195,1.202,310.82
2022-08-01,2023-03-01,515100,long,36238,1.511,1.64,4640.45
2022-12-01,2023-03-01,159617,long,49074,0.995,1.064,3355.79
2021-08-02,2023-04-03,518880,long,16454,3.685,4.27,9586.32
2021-08-02,2023-04-03,518660,long,16113,3.763,4.271,8146.57
2023-03-01,2023-04-03,560500,long,57383,0.954,0.906,-2786.4
2022-11-01,2023-05-04,518890,long,12528,3.865,4.424,6972.0
2023-03-01,2023-05-04,510500,long,8593,6.37,6.26,-977.79
2023-04-03,2023-05-04,518860,long,14783,4.254,4.413,2312.06
2023-04-03,2023-05-04,517330,long,81359,0.773,0.767,-525.74
2021-08-02,2023-06-01,518800,long,16571,3.659,4.315,10830.93
2023-01-03,2023-06-01,515080,long,38287,1.387,1.482,3604.31
2023-04-03,2023-06-01,515100,long,37794,1.664,1.733,2569.27
2023-05-04,2023-06-01,510880,long,22180,3.052,2.99,-1415.36
2023-05-04,2023-06-01,159625,long,63266,1.07,1.113,2679.01
2023-05-04,2023-06-01,510810,long,80878,0.837,0.807,-2466.23
2023-01-03,2023-07-03,512260,long,37450,1.418,1.563,5396.76
2023-06-01,2023-07-03,517330,long,108776,0.737,0.751,1474.31
2023-06-01,2023-07-03,510500,long,13155,6.094,6.104,83.41
2023-06-01,2023-07-03,159677,long,77682,1.032,1.05,1349.76
2023-06-01,2023-07-03,560500,long,94094,0.852,0.87,1645.08
2023-06-01,2023-07-03,159602,long,107320,0.747,0.763,1668.5
2023-02-01,2023-08-01,159610,long,57652,0.84,0.838,-144.33
2023-05-04,2023-08-01,159687,long,68103,0.994,1.111,7925.04
2023-06-01,2023-08-01,159678,long,84210,0.952,0.96,625.38
2023-08-01,2023-09-01,560500,long,59953,0.866,0.832,-2068.94
2023-08-01,2023-09-01,517330,long,67780,0.766,0.72,-3148.1
2023-07-03,2023-10-09,513500,long,51691,1.521,1.472,-2579.27
2023-07-03,2023-10-09,518860,long,18045,4.357,4.38,367.74
2023-08-01,2023-10-09,513650,long,43999,1.18,1.109,-3154.14
2023-09-01,2023-10-09,512260,long,30062,1.537,1.535,-87.83
2023-10-09,2023-11-01,159625,long,60035,1.032,1.028,-277.24
2023-10-09,2023-11-01,512040,long,65632,0.944,0.913,-2071.16
2023-10-09,2023-11-01,512890,long,65355,0.948,0.922,-1735.89
2023-11-01,2023-12-01,518860,long,11994,4.615,4.611,-81.17
2023-11-01,2023-12-01,515080,long,38200,1.449,1.418,-1217.06
2023-07-03,2024-01-02,518800,long,18258,4.306,4.586,5063.53
2023-07-03,2024-01-02,518880,long,18016,4.364,4.643,4977.78
2023-12-01,2024-01-02,515300,long,36915,1.346,1.268,-2908.32
2023-10-09,2024-02-01,510880,long,20135,3.077,2.923,-3137.03
2023-11-01,2024-02-01,512390,long,47924,1.155,1.069,-4153.44
2023-12-01,2024-02-01,562850,long,53199,0.934,0.959,1299.76
2024-01-02,2024-02-01,515080,long,43934,1.392,1.419,1149.17
2024-01-02,2024-02-01,562330,long,66402,0.921,0.887,-2293.68
2024-01-02,2024-02-01,512750,long,56626,1.08,1.132,2906.97
2024-02-01,2024-03-01,512800,long,138298,0.5599,0.5836,3230.22
2024-03-01,2024-04-01,159687,long,33742,1.157,1.213,1865.56
2023-07-03,2024-05-06,518660,long,18008,4.366,5.199,14948.99
2024-02-01,2024-05-06,518860,long,16440,4.71,5.288,9453.01
2024-02-01,2024-05-06,513500,long,46787,1.655,1.758,4771.16
2023-07-03,2024-06-03,518890,long,17775,4.423,5.35,16425.31
2023-09-01,2024-06-03,159980,long,29318,1.576,1.804,6654.78
2024-02-01,2024-06-03,518800,long,16851,4.595,5.269,11307.71
2024-02-01,2024-06-03,518880,long,16645,4.652,5.319,11052.42
2024-02-01,2024-06-03,513650,long,62345,1.242,1.375,8242.94
2024-04-01,2024-07-01,515300,long,28261,1.388,1.383,-164.8
2024-05-06,2024-07-01,512390,long,50425,1.221,1.01,-10673.42
2024-06-03,2024-07-01,515100,long,60559,1.39,1.327,-3864.58
2024-06-03,2024-07-01,513400,long,83925,1.003,1.028,2046.99
2024-05-06,2024-08-01,159981,long,37982,1.621,1.587,-1327.94
2024-05-06,2024-08-01,515450,long,45573,1.351,1.3,-2360.47
2024-07-01,2024-08-01,510130,long,13219,5.124,5.205,1029.78
2024-07-01,2024-08-01,513650,long,46652,1.452,1.479,1218.58
2024-07-01,2024-08-01,159529,long,62032,1.092,1.118,1571.7
2024-08-01,2024-09-02,510160,long,94448,0.776,0.734,-4009.6
2024-06-03,2024-10-08,510050,long,35653,2.361,3.065,25041.68
2024-06-03,2024-10-08,512750,long,67666,1.244,1.53,19296.16
2024-06-03,2024-10-08,510180,long,24948,3.374,4.235,21423.28
2024-07-01,2024-10-08,159592,long,69690,0.972,1.318,24064.86
2024-08-01,2024-10-08,510300,long,22270,3.291,4.445,25647.9
2024-08-01,2024-10-08,515080,long,50097,1.463,1.78,15832.01
2024-08-01,2024-10-08,515100,long,55106,1.33,1.596,14609.82
2024-08-01,2024-10-08,560050,long,99581,0.736,0.961,22355.03
2024-09-02,2024-10-08,512910,long,50550,0.862,1.178,15942.86
2024-10-08,2024-11-01,159985,long,63183,1.952,1.905,-3042.71
2021-01-04,2024-12-02,511380,long,9715,10.29,11.417,10885.54
2024-10-08,2024-12-02,159980,long,65255,1.89,1.649,-15795.74
2024-11-01,2024-12-02,159529,long,21371,1.14,1.488,7420.26
2024-10-08,2025-01-02,513030,long,88032,1.401,1.436,3006.2
2024-12-02,2025-01-02,513080,long,32000,1.467,1.48,387.71
2024-10-08,2025-02-05,159561,long,120208,1.026,1.515,58690.08
2024-12-02,2025-02-05,159329,long,46944,1.0,1.209,9780.19
2024-12-02,2025-02-05,159687,long,37051,1.267,1.571,11231.96
2024-10-08,2025-03-03,518890,long,21482,5.741,6.479,15774.96
2024-10-08,2025-03-03,518660,long,21660,5.694,6.435,15971.25
2024-10-08,2025-03-03,518800,long,21813,5.654,6.368,15495.81
2024-10-08,2025-03-03,518860,long,20904,5.9,6.476,11963.09
2024-10-08,2025-03-03,518880,long,21706,5.682,6.445,16482.71
2025-01-02,2025-03-03,513800,long,36797,1.365,1.394,1036.66
2025-02-05,2025-04-01,159981,long,48590,1.438,1.383,-2713.57
2025-03-03,2025-04-01,515080,long,82676,1.491,1.504,1000.5
2025-03-03,2025-04-01,516570,long,168172,0.733,0.734,94.16
2025-01-02,2025-05-06,159980,long,30777,1.632,1.664,954.43
2025-03-03,2025-05-06,515100,long,86082,1.432,1.441,700.54
2025-03-03,2025-05-06,562850,long,117962,1.045,1.038,-899.45
2025-03-03,2025-05-06,515150,long,99975,1.233,1.223,-1073.41
2025-03-03,2025-05-06,512040,long,131138,0.94,0.921,-2564.84
2025-05-06,2025-06-03,510230,long,85865,1.288,1.345,4826.48
2025-05-06,2025-07-01,562060,long,207922,0.5319,0.5735,8580.6
2025-05-06,2025-07-01,512800,long,144435,0.7657,0.8598,13520.9
2025-04-01,2025-08-01,515450,long,57134,1.414,1.43,865.4
2025-04-01,2025-08-01,512890,long,72716,1.111,1.18,4967.43
2025-05-06,2025-08-01,159525,long,106854,1.035,1.106,7518.0
2025-06-03,2025-08-01,512750,long,47036,1.421,1.523,4756.13
2025-07-01,2025-08-01,159928,long,106402,0.794,0.805,1119.38
2025-07-01,2025-08-01,159985,long,43887,1.925,1.959,1441.02
2025-08-01,2025-09-01,512040,long,120330,1.001,1.073,8588.89
2025-08-01,2025-09-01,510130,long,18788,6.411,6.968,10389.51
2025-08-01,2025-09-01,515080,long,76916,1.566,1.583,1234.91
2025-08-01,2025-09-01,562060,long,205547,0.586,0.602,3215.5
2025-02-05,2025-10-09,511380,long,5930,11.782,13.5,10142.76
2025-04-01,2025-10-09,515300,long,59490,1.358,1.298,-3616.8
2025-05-06,2025-10-09,510880,long,36379,3.04,3.082,1461.1
2025-09-01,2025-10-09,159329,long,105564,0.935,0.996,6378.25
2025-09-01,2025-10-09,518660,long,13100,7.534,8.72,15472.72
2025-08-01,2025-11-03,159980,long,71441,1.686,1.812,8926.6
2025-10-09,2025-11-03,513650,long,62109,1.74,1.802,3784.76
2025-10-09,2025-11-03,513500,long,46905,2.304,2.454,6968.8
2025-10-09,2025-11-03,513400,long,90133,1.199,1.242,3809.71
2025-10-09,2025-12-01,159529,long,76536,1.412,1.374,-2972.34
2025-10-09,2025-12-01,563700,long,105743,1.022,1.078,5854.99
2025-08-01,2026-01-05,515100,long,78983,1.525,1.431,-7494.44
2025-11-03,2026-01-05,159332,long,83277,1.211,1.212,22.74
2025-12-01,2026-01-05,510880,long,25514,3.23,3.183,-1248.24
2026-01-05,2026-02-02,511380,long,6975,13.68,14.415,5067.84
2026-01-05,2026-02-02,159666,long,93283,1.023,1.013,-989.81
2025-11-03,2026-03-02,515080,long,63070,1.599,1.645,2839.84
2026-02-02,2026-03-02,159332,long,70732,1.22,1.256,2493.81
2026-03-02,2026-04-01,159985,long,43639,2.023,2.058,1473.94
2026-03-02,2026-04-01,562060,long,133156,0.663,0.655,-1117.9
2026-04-01,2026-05-06,159529,long,70038,1.261,1.308,3237.81
2026-04-01,2026-06-01,512800,long,109985,0.803,0.775,-3131.65
2025-02-05,2026-07-13,512390,long,66230,1.055,1.226,11280.01
2025-09-01,2026-07-13,159525,long,88602,1.114,1.03,-7499.56
2025-09-01,2026-07-13,512890,long,82665,1.194,1.107,-7248.92
2025-11-03,2026-07-13,515450,long,69743,1.446,1.357,-6265.77
2025-11-03,2026-07-13,512750,long,67593,1.492,1.344,-10061.27
2025-12-01,2026-07-13,515300,long,61501,1.34,1.226,-7058.46
2026-01-05,2026-07-13,560570,long,94671,1.008,0.943,-6209.03
2026-02-02,2026-07-13,563700,long,81950,1.053,1.009,-3656.49
2026-05-06,2026-07-13,515100,long,54927,1.453,1.344,-6033.13
2026-06-01,2026-07-13,159263,long,69746,1.152,1.061,-6393.19
2026-07-01,2026-07-13,517180,long,54534,1.326,1.383,3064.12
2026-07-01,2026-07-13,560700,long,65918,1.097,1.095,-175.18
2026-07-01,2026-07-13,562060,long,127087,0.569,0.583,1735.3
