date,value,dr,cmax,dd
2021-01-04,1039552.61,,1039552.61,0.0
2021-02-01,1007492.74,-0.03084006493908953,1039552.61,-3.084006493908953
2021-03-01,982045.53,-0.02525795868266001,1039552.61,-5.531906653574747
2021-04-01,933228.21,-0.04970983371819848,1039552.61,-10.2278998655008
2021-05-06,965828.7,0.03493303101071055,1039552.61,-7.091888307605709
2021-06-01,979114.88,0.013756248908320945,1039552.61,-5.813821197563051
2021-07-01,998164.65,0.01945611326017227,1039552.61,-3.9813242352400025
2021-08-02,1081686.55,0.08367547378080364,1081686.55,0.0
2021-09-01,1072522.36,-0.008472130858981242,1081686.55,-0.8472130858981242
2021-10-08,1041076.5,-0.029319537916207228,1081686.55,-3.7543269813237523
2021-11-01,1073051.16,0.030713074399431717,1081686.55,-0.7983264652777766
2021-12-01,1080619.39,0.007053000157047462,1081686.55,-0.09865704625801053
2022-01-04,1064010.16,-0.01537010177098519,1081686.55,-1.6341508545151262
2022-02-07,962347.75,-0.09554646545856282,1081686.55,-11.032660062196397
2022-03-01,959187.17,-0.0032842389874138123,1081686.55,-11.324850068626624
2022-04-01,968285.6,0.009485562656139201,1081686.55,-10.483716377910035
2022-05-05,960325.2,-0.00822112814648901,1081686.55,-11.219641216764698
2022-06-01,962380.1,0.0021397959774460684,1081686.55,-11.029669362164118
2022-07-01,936882.38,-0.026494438112342533,1081686.55,-13.386888281082909
2022-08-01,918771.72,-0.01933077234305547,1081686.55,-15.061186625644929
2022-09-01,840042.2,-0.0856899687770103,1081686.55,-22.33959089164972
2022-10-10,779446.5,-0.07213411421473825,1081686.55,-27.941555712234756
2022-11-01,756979.4,-0.028824428616973652,1081686.55,-30.01859919585762
2022-12-01,756867.28,-0.00014811499493905256,1081686.55,-30.028964490683553
2023-01-03,759914.81,0.004026505148960968,1081686.55,-29.747225755927165
2023-02-01,798553.39,0.050845936270145886,1081686.55,-26.175157673912096
2023-03-01,789187.64,-0.011728395517800028,1081686.55,-27.041004623751675
2023-04-03,896016.1,0.13536509517559092,1081686.55,-17.164903270730324
2023-05-04,905070.36,0.01010501931829122,1081686.55,-16.327853018048533
2023-06-01,870694.23,-0.037981721111715605,1081686.55,-19.505865169535486
2023-07-03,861798.62,-0.01021668651691876,1081686.55,-20.328248511548942
2023-08-01,829206.21,-0.03781905568611843,1081686.55,-23.34135891770126
2023-09-01,807651.8,-0.02599402867472489,1081686.55,-25.334025832159966
2023-10-09,776627.92,-0.038412444570791515,1081686.55,-28.202128426206276
2023-11-01,766444.85,-0.013111903059060848,1081686.55,-29.143535158128763
2023-12-01,770553.64,0.005360842335883742,1081686.55,-28.763684821633404
2024-01-02,738963.3,-0.040996938253383575,1081686.55,-31.68415563639947
2024-02-01,743911.6,0.0066962730084159094,1081686.55,-31.22669409174035
2024-03-01,783836.69,0.0536691321925884,1081686.55,-27.535690445628646
2024-04-01,794766.7,0.013944243921524047,1081686.55,-26.52523043759767
2024-05-06,781078.05,-0.017223482060836126,1081686.55,-27.790721813079767
2024-06-03,775104.45,-0.007647891270277096,1081686.55,-28.342970521358524
2024-07-01,773784.35,-0.0017031253013706227,1081686.55,-28.465011421284668
2024-08-01,758971.16,-0.019143822177328795,1081686.55,-29.83446452209284
2024-09-02,739106.49,-0.026173155248744973,1081686.55,-31.67091797526742
2024-10-08,712265.33,-0.03631568706696109,1081686.55,-34.15233553565032
2024-11-01,654310.35,-0.08136712199651774,1081686.55,-39.51017048330684
2024-12-02,704898.37,0.07731502336773377,1081686.55,-34.83339790071348
2025-01-02,652580.23,-0.07422082703922273,1081686.55,-39.67011700385847
2025-02-05,664912.64,0.01889792156283998,1081686.55,-38.53000760710208
2025-03-03,668267.47,0.005045519964848255,1081686.55,-38.21985953324464
2025-04-01,661717.81,-0.009800955895698293,1081686.55,-38.82536396518936
2025-05-06,668782.19,0.010675819651884355,1081686.55,-38.17227458361205
2025-06-03,676964.1,0.012234042895191477,1081686.55,-37.41587153875585
2025-07-01,689620.58,0.018695939710835496,1081686.55,-36.245802446189245
2025-08-01,729917.28,0.05843314594816773,1081686.55,-32.5204441157191
2025-09-01,848757.58,0.16281338071623663,1081686.55,-21.533869492969117
2025-10-09,867934.52,0.02259413105918906,1081686.55,-19.760995456585828
2025-11-03,846050.64,-0.025213745387152042,1081686.55,-21.784121287262014
2025-12-01,836366.97,-0.011445733319225493,1081686.55,-22.679359376336894
2026-01-05,882239.59,0.05484747921118882,1081686.55,-18.438517147134725
2026-02-02,907099.79,0.028178513276648554,1081686.55,-16.14023581970211
2026-03-02,979889.63,0.08024457816267372,1081686.55,-9.410944418232814
2026-04-01,871923.95,-0.11018147013148827,1081686.55,-19.392179740055017
2026-05-06,917492.08,0.05226158772218614,1081686.55,-15.179487070445695
2026-06-01,905682.95,-0.01287109748129922,1081686.55,-16.27122016077579
2026-07-01,903534.98,-0.002371657763900692,1081686.55,-16.469796171543415
2026-07-13,744642.45,-0.17585653407685453,1081686.55,-31.15912830754899
