entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-08-03,510660,161894,1.235,1.578,55393.02
2015-02-02,2015-10-08,159928,672293,0.2974,0.3395,28175.08
2015-08-03,2016-03-01,510900,47281,1.08,0.819,-12367.28
2016-03-01,2016-08-01,513660,94656,0.8126,0.9545,13381.51
2015-02-02,2017-01-03,513500,354755,0.5636,0.7293,58645.3
2016-08-01,2017-02-03,159941,307310,0.259,0.316,17463.66
2017-02-03,2017-03-01,510230,98121,1.1386,1.1386,-67.03
2017-01-03,2017-04-05,159928,310433,0.3717,0.4212,15292.59
2015-10-08,2017-05-02,513030,101972,0.848,1.084,24006.29
2017-03-01,2017-05-02,512010,323789,0.345,0.3664,6859.98
2015-02-02,2017-06-01,513100,751936,0.2659,0.4105,108577.36
2017-06-01,2017-09-01,159928,343195,0.4214,0.4768,18920.53
2017-04-05,2017-10-09,510230,103319,1.1179,1.3242,21239.02
2017-05-02,2017-12-01,510660,85313,1.62,1.82,16974.56
2017-12-01,2018-03-01,513600,57211,2.585,2.581,-317.51
2018-03-01,2018-04-02,513030,134512,1.099,1.064,-4795.2
2017-09-01,2018-06-01,513660,120959,1.2269,1.2901,7553.27
2017-05-02,2018-08-01,510160,246800,0.56,0.544,-4030.54
2018-08-01,2019-02-01,513660,112134,1.3001,1.2555,-5087.15
2017-10-09,2019-03-01,510810,143770,1.016,0.888,-18484.68
2019-03-01,2019-06-03,513660,109425,1.2916,1.251,-4526.12
2019-06-03,2019-07-01,510900,122644,1.145,1.22,9111.28
2019-07-01,2019-09-02,513660,106610,1.3343,1.2535,-8696.85
2019-09-02,2020-02-03,510900,120403,1.167,1.16,-926.87
2018-04-02,2020-04-01,513500,187765,0.7822,0.8843,19076.93
2018-06-01,2020-04-01,513030,139875,1.063,0.809,-35606.8
2020-04-01,2020-05-06,512890,320494,0.5244,0.5464,6947.91
2020-04-01,2020-06-01,510900,153346,1.096,1.145,7410.86
2020-05-06,2020-08-03,512800,270280,0.5026,0.5257,6160.09
2020-06-01,2020-09-01,512890,264769,0.543,0.6627,31597.08
2020-09-01,2020-11-02,512750,139352,1.075,1.073,-368.5
2020-08-03,2020-12-01,513800,138700,1.034,1.149,15859.67
2020-12-01,2021-01-04,513600,61144,2.48,2.529,2904.17
2020-02-03,2021-02-01,513660,110754,1.267,1.3458,8640.6
2019-02-01,2021-03-01,518880,50992,2.839,3.572,37279.06
2021-01-04,2021-03-01,159985,119575,1.273,1.26,-1645.34
2021-02-01,2021-03-01,159980,130549,1.161,1.316,20138.08
2021-03-01,2021-04-01,159981,202476,1.097,1.1,473.98
2021-03-01,2021-04-01,512890,331764,0.6695,0.6935,7826.68
2021-03-01,2021-05-06,512750,188393,1.179,1.117,-11810.13
2015-02-02,2021-07-01,518800,78685,2.541,3.571,80901.27
2020-11-02,2021-07-01,515300,142194,1.053,1.13,10855.82
2021-04-01,2021-08-02,518880,50693,3.538,3.685,7342.02
2021-07-01,2021-08-02,513000,167218,1.244,1.202,-7145.86
2021-07-01,2021-08-02,513080,162515,1.28,1.297,2637.11
2021-08-02,2021-09-01,510880,87336,2.799,3.133,29014.8
2021-04-01,2021-10-08,515450,147980,1.212,1.301,13058.66
2021-08-02,2021-10-08,515100,189061,1.293,1.46,31417.04
2021-08-02,2021-11-01,515300,231712,1.055,1.15,21859.36
2021-10-08,2021-11-01,518800,60982,3.536,3.57,1943.39
2021-11-01,2022-01-04,513500,159784,1.4154,1.4708,8713.68
2021-11-01,2022-08-01,518890,61707,3.665,3.806,8562.38
2022-08-01,2023-01-03,518860,51487,3.75,4.016,13575.59
2023-01-03,2023-04-03,518890,48596,4.029,4.303,13193.83
2023-04-03,2023-08-01,518860,46645,4.254,4.426,7901.48
2022-01-04,2024-07-01,518800,50868,3.591,5.235,83492.3
2024-07-01,2024-08-01,513650,146856,1.452,1.479,3835.98
2021-09-01,2024-09-02,518880,41321,3.69,5.505,74883.63
2021-10-08,2024-09-02,518660,59649,3.615,5.497,112096.36
2024-08-01,2024-09-02,518800,39411,5.43,5.45,659.58
2024-09-02,2024-10-08,512750,266727,1.219,1.53,82732.13
2024-09-02,2024-10-08,510180,99951,3.253,4.235,97927.35
2024-09-02,2024-10-08,515300,242100,1.343,1.611,64668.25
2024-10-08,2025-06-03,518660,65716,5.694,7.493,117963.1
2023-08-01,2025-11-03,518890,45047,4.44,8.786,195595.52
2024-10-08,2025-11-03,518800,66181,5.654,8.643,197531.15
2024-10-08,2025-11-03,518880,65855,5.682,8.743,201297.17
2025-06-03,2025-11-03,159980,149279,1.662,1.812,22236.27
2025-11-03,2025-12-01,515450,388018,1.446,1.449,827.06
2025-12-01,2026-01-05,515100,143511,1.565,1.431,-19359.46
2021-05-06,2026-04-01,511380,14541,10.293,13.631,48433.49
2026-01-05,2026-05-06,515450,157211,1.404,1.438,5211.14
2025-11-03,2026-06-01,512390,471095,1.191,1.264,34042.97
2025-11-03,2026-07-14,159525,505017,1.111,1.03,-41230.75
2025-11-03,2026-07-14,515300,419337,1.338,1.251,-36808.02
2026-04-01,2026-07-14,512750,150765,1.434,1.351,-12639.46
2026-05-06,2026-07-14,512890,183623,1.188,1.139,-9125.71
2026-06-01,2026-07-14,515450,205271,1.43,1.39,-8384.5
2026-07-01,2026-07-14,512390,182747,1.285,1.231,-10006.28
