entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2015-02-02,2015-05-04,510900,89258,1.12,1.414,26174.0
2015-02-02,2015-07-01,510160,204856,0.488,0.72,47452.35
2015-02-02,2015-08-03,159902,35703,2.8,3.755,34026.16
2015-02-02,2015-10-08,159901,53164,1.8804,1.8118,-3705.94
2015-05-04,2016-01-04,510170,20460,0.6165,0.4468,-3478.59
2015-02-02,2016-02-01,510660,80947,1.235,1.279,3500.62
2016-01-04,2016-03-01,510160,74019,0.533,0.409,-9199.27
2016-02-01,2016-03-01,510170,133103,0.3445,0.3759,4150.67
2015-02-02,2016-08-01,159905,97058,1.03,1.123,8963.7
2015-08-03,2016-09-01,510230,33323,1.1068,1.1058,-55.44
2015-07-01,2017-01-03,510900,21128,1.235,1.055,-3817.55
2015-02-02,2017-02-03,513500,177377,0.5636,0.7354,30404.24
2016-08-01,2017-04-05,159941,194320,0.259,0.323,12402.55
2016-03-01,2017-05-02,513600,29857,1.651,2.229,17222.59
2017-05-02,2017-06-01,512070,100846,0.5614,0.5918,3030.83
2016-03-01,2017-07-03,513660,60663,0.8126,1.1512,20504.75
2017-07-03,2017-08-01,512070,93548,0.6222,0.653,2845.49
2015-02-02,2017-09-01,513100,375968,0.2659,0.4043,51958.38
2017-09-01,2017-10-09,159901,29983,2.2623,2.3509,2615.0
2015-02-02,2017-11-01,159928,336146,0.2974,0.5626,89059.19
2016-09-01,2017-11-01,512010,145510,0.3366,0.4329,13979.02
2017-11-01,2017-12-01,159901,35006,2.4704,2.3896,-2879.52
2017-01-03,2018-02-01,510230,42152,1.0986,1.4688,15572.2
2017-12-01,2018-02-01,510900,62085,1.249,1.41,9946.16
2018-02-01,2018-03-01,159941,233405,0.363,0.355,-1917.52
2017-11-01,2018-05-02,513100,203100,0.4258,0.4369,2201.85
2017-02-03,2018-06-01,510660,35996,1.52,2.23,25516.66
2018-03-01,2018-09-03,510230,57292,1.3276,1.167,-9243.97
2018-06-01,2018-12-03,513100,169314,0.4584,0.4997,6944.0
2018-05-02,2019-02-01,159941,225434,0.343,0.377,7616.06
2017-04-05,2019-04-01,510160,98257,0.565,0.58,1440.1
2017-10-09,2019-05-06,510810,67021,1.016,0.964,-3524.9
2017-08-01,2019-06-03,513660,48648,1.2023,1.251,2333.35
2019-06-03,2019-07-01,510160,138304,0.531,0.56,3965.55
2019-04-01,2019-09-02,159941,189483,0.401,0.44,7342.03
2019-12-02,2020-01-02,159941,137640,0.489,0.495,785.21
2018-09-03,2020-02-03,512800,163047,0.4694,0.5031,5447.11
2019-05-06,2020-03-02,513100,137652,0.5437,0.6694,17252.76
2020-02-03,2020-03-02,159941,156486,0.483,0.5,2614.11
2015-10-08,2020-05-06,513030,50496,0.848,0.88,1589.69
2018-02-01,2020-06-01,513500,100125,0.8462,1.0327,18616.88
2019-09-02,2020-06-01,512390,71223,1.05,1.086,2518.39
2017-06-01,2020-07-01,513600,24597,2.314,2.434,2916.6
2018-12-03,2020-08-03,510900,64339,1.202,1.169,-2168.95
2020-04-01,2020-08-03,512950,75855,0.897,1.075,13457.31
2020-06-01,2020-08-03,510230,79785,1.0496,1.1989,11858.08
2020-07-01,2020-08-03,510170,179087,0.4075,0.5279,21511.82
2020-03-02,2020-09-01,512800,165247,0.5147,0.5428,4591.02
2020-06-01,2020-11-02,512260,70195,1.193,1.352,11107.41
2020-08-03,2020-12-01,513520,93179,1.077,1.251,16148.07
2020-12-01,2021-01-04,512260,54481,1.399,1.369,-1679.67
2020-08-03,2021-02-01,513600,40728,2.464,2.65,7512.92
2020-09-01,2021-02-01,510900,59584,1.161,1.218,3353.76
2019-07-01,2021-03-01,513660,55336,1.3343,1.3965,3396.57
2020-08-03,2021-03-01,513800,97054,1.034,1.175,13620.3
2021-01-04,2021-04-01,159985,59741,1.273,1.275,73.82
2021-02-01,2021-04-01,159980,74492,1.161,1.257,7097.2
2020-03-02,2021-05-06,512890,154025,0.5522,0.7023,23061.19
2021-02-01,2021-05-06,512260,65420,1.322,1.432,7142.15
2021-03-01,2021-05-06,515080,69207,1.276,1.359,5689.47
2021-03-01,2021-06-01,159981,80500,1.097,1.235,11052.68
2020-08-03,2021-07-01,512750,95213,1.054,1.1,4318.27
2021-05-06,2021-07-01,510880,36137,2.758,2.855,3444.44
2021-06-01,2021-07-01,512890,106102,0.7512,0.7326,-2020.73
2015-02-02,2021-08-02,518800,39342,2.541,3.659,43911.18
2019-02-01,2021-08-02,518880,27508,2.839,3.685,23217.93
2021-04-01,2021-08-02,513800,72832,1.203,1.169,-2528.12
2021-07-01,2021-08-02,513080,78343,1.28,1.297,1271.26
2021-07-01,2021-08-02,518660,27436,3.655,3.763,2902.03
2021-07-01,2021-08-02,513520,81264,1.234,1.195,-3228.51
2021-05-06,2021-09-01,513000,76963,1.295,1.227,-5291.71
2021-08-02,2021-09-01,512890,191832,0.6954,0.7785,15856.42
2021-08-02,2021-09-01,512040,167420,0.7968,0.8821,14196.6
2021-08-02,2021-10-08,510880,47660,2.799,3.117,15071.29
2021-08-02,2021-10-08,512750,132341,1.008,1.09,10768.67
2021-10-08,2021-11-01,513030,78860,1.192,1.199,495.45
2021-04-01,2021-12-01,515450,72291,1.212,1.145,-4894.61
2021-08-02,2021-12-01,515100,103171,1.293,1.396,10543.38
2021-12-01,2022-01-04,513080,81026,1.22,1.307,6987.84
2021-12-01,2022-02-07,513030,87634,1.128,1.135,553.94
2022-02-07,2022-04-01,518860,23852,3.8,3.876,1757.83
2021-08-02,2022-05-05,512260,90748,1.47,1.369,-9242.84
2022-01-04,2022-06-01,515100,59185,1.515,1.523,419.54
2021-10-08,2022-07-01,513500,68579,1.3707,1.196,-12033.56
2022-07-01,2022-08-01,515100,60186,1.538,1.511,-1680.07
2022-04-01,2022-10-10,513800,86162,1.054,0.975,-6859.24
2022-08-01,2022-11-01,512750,88930,1.039,0.926,-10101.51
2022-06-01,2022-12-01,510180,26339,3.559,3.487,-1952.08
2022-10-10,2023-04-03,510130,18263,5.013,5.55,9749.36
2022-11-01,2023-06-01,515450,82766,1.095,1.337,19968.99
2020-11-02,2023-07-03,515300,68133,1.053,1.333,19028.47
2023-07-03,2023-08-01,510810,116154,0.804,0.869,7491.71
2023-08-01,2023-10-09,159617,84277,1.117,1.06,-4858.83
2022-12-01,2023-11-01,515100,58170,1.56,1.746,10761.93
2023-11-01,2023-12-01,159617,89939,1.05,1.048,-236.49
2022-05-05,2024-01-02,518860,23709,3.971,4.666,16416.32
2023-12-01,2024-01-02,560500,117429,0.804,0.803,-174.04
2023-06-01,2024-02-01,512260,59859,1.565,1.32,-14717.26
2023-10-09,2024-02-01,159610,117358,0.798,0.676,-14369.57
2024-01-02,2024-02-01,510880,35978,2.931,2.923,-351.01
2023-04-03,2024-03-01,515080,62877,1.46,1.51,3087.83
2024-01-02,2024-04-01,159625,102479,1.029,1.1,7210.56
2024-02-01,2024-05-06,159687,100725,1.099,1.21,11110.7
2024-04-01,2024-07-01,512390,76273,1.174,1.01,-12558.75
