entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2018-02-01,2018-03-01,510500,30740,5.436,5.273,-5109.38
2018-03-01,2018-04-02,512200,92485,2.6386,2.5981,-3890.94
2018-03-01,2018-04-02,512070,371602,0.6567,0.6313,-9582.28
2018-03-01,2018-04-02,159905,141222,1.728,1.656,-10311.35
2018-03-01,2018-04-02,510900,194447,1.255,1.225,-5978.08
2018-03-01,2018-05-02,510050,99482,2.453,2.253,-20036.85
2018-04-02,2018-05-02,159928,343574,0.5509,0.5491,-731.81
2018-04-02,2018-05-02,512800,378853,0.4996,0.4961,-1439.15
2018-04-02,2018-05-02,510230,148555,1.2741,1.2468,-4167.9
2018-04-02,2018-06-01,513050,130175,1.454,1.459,537.12
2018-05-02,2018-06-01,512400,230712,0.845,0.821,-5652.4
2018-05-02,2018-06-01,159902,57474,3.392,3.417,1319.45
2018-05-02,2018-06-01,512980,206080,0.946,0.916,-6297.52
2018-05-02,2018-06-01,159901,87020,2.2403,2.253,987.85
2018-06-01,2018-07-02,159949,364908,0.633,0.586,-17284.12
2018-06-01,2018-07-02,512200,99336,2.3253,2.1416,-18381.14
2018-06-01,2018-07-02,159915,140759,1.641,1.522,-16883.89
2018-06-01,2018-07-02,512800,483337,0.4779,0.4457,-15697.37
2018-06-01,2018-08-01,159939,460224,0.5019,0.4604,-19232.16
2018-07-02,2018-08-01,512100,97685,1.752,1.733,-1958.14
2018-07-02,2018-08-01,512400,228192,0.75,0.734,-3752.66
2018-07-02,2018-08-01,510500,37302,4.588,4.567,-885.79
2018-07-02,2018-09-03,512980,207699,0.824,0.729,-19828.17
2018-08-01,2018-09-03,159949,309475,0.575,0.525,-15575.88
2018-08-01,2018-09-03,159915,119108,1.494,1.364,-15586.16
2018-08-01,2018-10-08,512010,370263,0.4806,0.437,-16245.39
2018-08-01,2018-10-08,510660,90790,1.96,1.81,-13721.18
2018-09-03,2018-10-08,512400,198487,0.659,0.658,-276.91
2018-09-03,2018-10-08,159928,256476,0.51,0.5463,9228.8
2018-10-08,2018-11-01,159949,343240,0.5,0.46,-13828.45
2018-10-08,2018-11-01,512980,243432,0.705,0.651,-13244.36
2018-10-08,2018-11-01,159915,130311,1.317,1.231,-11306.36
2018-09-03,2018-12-03,513050,98348,1.33,1.197,-13154.84
2018-10-08,2018-12-03,159939,428728,0.4003,0.3901,-4474.69
2018-11-01,2018-12-03,159928,295739,0.4383,0.4768,11304.76
2018-11-01,2018-12-03,512100,94684,1.369,1.484,10807.62
2018-11-01,2018-12-03,159902,53364,2.429,2.539,5790.51
2018-12-03,2019-01-02,512800,397437,0.4835,0.4493,-13703.56
2018-12-03,2019-01-02,512400,319735,0.601,0.568,-10663.39
2018-12-03,2019-01-02,510050,89794,2.14,1.941,-17978.94
2018-12-03,2019-01-02,159941,486484,0.395,0.355,-19568.82
2018-12-03,2019-02-01,510230,158719,1.2107,1.0805,-20774.31
2019-01-02,2019-02-01,512010,408761,0.3458,0.3479,773.33
2019-01-02,2019-02-01,513500,174592,0.8096,0.8523,7368.03
2019-01-02,2019-02-01,510660,97955,1.443,1.405,-3805.98
2019-01-02,2019-02-01,513100,318786,0.4434,0.4704,8519.83
2019-02-01,2019-03-01,510170,485952,0.3667,0.4085,20199.78
2019-02-01,2019-03-01,512100,131511,1.355,1.667,40912.2
2019-02-01,2019-03-01,512400,321658,0.554,0.675,38802.02
2019-02-01,2019-03-01,512980,276706,0.644,0.809,45535.87
2019-02-01,2019-03-01,159915,150760,1.182,1.489,46162.52
2019-03-01,2019-04-01,513600,84212,2.571,2.613,3405.94
2019-03-01,2019-04-01,513500,245977,0.8802,0.8996,4640.62
2019-03-01,2019-05-06,518800,77022,2.811,2.775,-2901.87
2019-03-01,2019-05-06,518880,76586,2.827,2.798,-2350.23
2019-03-01,2019-05-06,513030,220253,0.983,1.008,5374.77
2019-04-01,2019-05-06,510900,72187,1.222,1.211,-846.75
2019-04-01,2019-05-06,512800,168121,0.5247,0.5293,720.2
2019-05-06,2019-06-03,159939,477281,0.457,0.4433,-6667.66
2019-05-06,2019-06-03,512400,351802,0.62,0.648,9716.63
2019-05-06,2019-06-03,159949,415462,0.525,0.508,-7191.61
2019-05-06,2019-06-03,159902,76264,2.86,2.692,-12939.38
2019-06-03,2019-07-01,513050,153296,1.116,1.226,16754.85
2019-06-03,2019-07-01,510660,106924,1.6,1.681,8555.6
2019-06-03,2019-07-01,512070,243736,0.7019,0.7975,23191.52
2019-06-03,2019-07-01,159941,433110,0.395,0.424,12453.77
2019-05-06,2019-08-01,512980,281442,0.775,0.72,-15605.54
2019-07-01,2019-08-01,512100,106736,1.717,1.689,-3097.67
2019-07-01,2019-08-01,512260,154005,1.19,1.157,-5190.6
2019-07-01,2019-08-01,510500,40653,4.508,4.367,-5840.31
2019-07-01,2019-08-01,512200,77642,2.3604,2.3118,-3882.23
2019-08-01,2019-09-02,512690,407116,0.5408,0.5975,22944.45
2019-08-01,2019-09-02,512400,344551,0.639,0.668,9856.88
2019-08-01,2019-09-02,512010,516706,0.4261,0.4631,18980.29
2019-08-01,2019-09-02,159928,299916,0.7341,0.7816,14109.64
2019-08-01,2019-10-08,513660,170660,1.2901,1.2635,-4670.3
